name,size,values,imports
node.0.yoni_bashan,199.0,,"['node.3.DanielleGuss', 'node.3.amydale_tweets', 'node.1.whatlouthinks', 'node.1.patricklion', 'node.3.dawkins_scott', 'node.3.Ozartwriter', 'node.3.mirandamwood', 'node.3.JasonBartlett3', 'node.3.antonrosetweet', 'node.3.kelliesloane', 'node.1.belinda_palmada', 'node.3.purcellpw', 'node.3.TSWestbrook', 'node.3.prwireau', 'node.3.AngiraB_', 'node.3.lanai_scarr', 'node.3.kennedyawards', 'node.1.zacjmclean', 'node.3.JessRapana', 'node.3.latkinson09', 'node.3.BrettMasonNews', 'node.1.ejohnno', 'node.1.JakeMcCallum_', 'node.3.MattYoung', 'node.3.ashpillhofer', 'node.3.DylRobinson', 'node.1.s_sharples', 'node.3.mjrowland68', 'node.3.sarah_daffy', 'node.0.SimonThomsen', 'node.3.JACKTWARD_', 'node.1.MackenzieJScott', 'node.3.channelclem', 'node.3.JacksonStiles', 'node.1.Kathleenskene', 'node.1.lehmannatlarge', 'node.3.RosieKingJourno', 'node.0.mariecamilleh', 'node.1.wadeNYC', 'node.1.BecFranks', 'node.3.Mel_Matheson', 'node.3.emritchiewrites', 'node.2.LauraByrneStory', 'node.3.victoria_craw', 'node.1.jmodoh', 'node.1.jess_clement', 'node.1.samanthamaiden', 'node.3.Andrew_Denney', 'node.3.AnthDeCeglie', 'node.0.AlexBrown77', 'node.3.Satria_Dyer_D', 'node.1.shoba_rao', 'node.1.sophieelsworth', 'node.3.D_JervisBardy', 'node.1.clarissa_bye', 'node.1.almarlatour', 'node.3.DigitalMediaBoy', 'node.3.RobbieP7', 'node.3.Mrskayjimi', 'node.0.SydneyEditor', 'node.3.livcaisley', 'node.3.msmarto', 'node.3.elizabethredman', 'node.3.lewiss50', 'node.1.camcansnap', 'node.1.akoubaridis', 'node.3.darrenwick9', 'node.3.KerryParnell', 'node.3._SarahMcPhee', 'node.3.MarkDiStef', 'node.3.shayalaughlin', 'node.0.AnneMareeGale', 'node.3.samanthabrett', 'node.3.gemoo4', 'node.3.stefaniebalogh', 'node.3.MayneReport', 'node.3.SkipperAust', 'node.3.tblakesydney', 'node.3.JournoLawJ', 'node.3._leo_s', 'node.3.tauerbach', 'node.1._juliabradley', 'node.3.tanyaksmart', 'node.3.sarahelks', 'node.3.fitzhunter', 'node.3.NicBerko', 'node.1.PDGarvey', 'node.3.Storyful', 'node.3.davemeddows', 'node.2.DavidClinchNews', 'node.3.timburrowes', 'node.3.carlazanoni', 'node.1.lizeburke', 'node.1.aclennell', 'node.0.DerekPedley', 'node.3.LachCartwright', 'node.3.nicchristensen', 'node.3.SamEBJones', 'node.1.publicdefender', 'node.3.workmanalice', 'node.3.julestullberg', 'node.3.katie_robertson', 'node.3.CamReddin', 'node.1.TomChamberlin', 'node.1.scoopnewsworthy', 'node.3.AusPolStats', 'node.3.cvbyllaardt', 'node.1.OndyHarvard', 'node.0.Sandra_DSouza', 'node.3.DaniLeMessurier', 'node.3.Boel84', 'node.3.heatherlmcnab', 'node.3.MichaelRoddan', 'node.3.annikasmethurst', 'node.3.naveenjrazik', 'node.1.GRogow', 'node.3.edwina_b', 'node.1.lottiewillis', 'node.1.tminear', 'node.0.NicCampbell', 'node.3.Nic_Coxy', 'node.3.fergusonjw', 'node.3.australia2', 'node.3.OscarBColeman', 'node.3.cathwebber', 'node.3.ViscountBrooky', 'node.0.ChrisPavPhotog', 'node.3.MelStevens', 'node.3.MazoeFord', 'node.1.DaveyCampbell85', 'node.3.RenataGortan', 'node.1.LawrenceMachado', 'node.1.rachelbaxendale', 'node.2.saschaosullivan', 'node.1.neilwrites', 'node.3.AndrewTangel', 'node.3.SelinaSteele', 'node.1.jaynieseal', 'node.3.RyanNorthover', 'node.0.carmelmelouney', 'node.1.NicholasGray', 'node.3.TomRichardson', 'node.1.noah_yim', 'node.1.sarah_keoghan', 'node.1.LillSaleh', 'node.1.brighetteryan']"
node.0.food_natures,0.0,,
node.0.claudiacukrov,1.0,,
node.0.jlilley626,7.0,,['node.1.dannyyadron']
node.0.FreeRangePamela,0.0,,
node.0.IABAustralia,85.0,,"['node.3.SamEBJones', 'node.0.mediascope_', 'node.1.meags_gray', 'node.1.suzandelibasic', 'node.0.karistar', 'node.0.migw222', 'node.3.nicchristensen', 'node.0.papermetalrock', 'node.3.JyeMurray', 'node.3.antonymd', 'node.3.bessie_hassan', 'node.1.Tim_Love', 'node.3.MonikaJansch', 'node.3.pratiba', 'node.0.Ben_Shute', 'node.0.LindenDawson', 'node.0.gekka01', 'node.0.jacqui_owens', 'node.3.larasinclair', 'node.0.earleyedition', 'node.0.Beta_Boy', 'node.0.judypridmore', 'node.3.timaddington', 'node.3.keithahern', 'node.0.MLawler_aus', 'node.3.kbeddoe', 'node.3.GlennStanaway', 'node.3.bhowarth', 'node.3.MargaretGees', 'node.0.jennibeattie', 'node.3.charliemurdoch', 'node.3.DigitalMediaBoy', 'node.3.eunmac', 'node.3.lizdeegan', 'node.0.hit_ch', 'node.3.ianlyons', 'node.0.tobyhemming', 'node.3.Paola_picc', 'node.3.NDMPressOffice', 'node.0.ShanelleOnline', 'node.3.mitchneems', 'node.0.gabbistubbs', 'node.3.mirandaleigh90', 'node.3.eskimo_sparky', 'node.0.zemlak', 'node.3.loulouboo', 'node.0.WilliamWilding', 'node.3.ordnung', 'node.0.hughskr', 'node.3.timburrowes', 'node.1.NicholasGray', 'node.3.Mumbrellanews', 'node.3.foraggio', 'node.0.PaulCarrollco', 'node.3.channelclem', 'node.0.hughjm', 'node.3.TamOppen', 'node.3.clivedickens', 'node.0.jasonealey']"
node.0.mrosen,5.0,,"['node.0.cooktine', 'node.3.BrianKieran']"
node.0.realrobcopeland,150.0,,"['node.2.echasan', 'node.3.deepsea9898', 'node.1.keithbcollins', 'node.3.paulwsj', 'node.3.broderick7097', 'node.1.wallernikki', 'node.3.A_Grossman', 'node.1.RhiannonHoyle', 'node.1.grainnemcc', 'node.2.RBlumenstein', 'node.1.miriamgottfried', 'node.3.WomenAtDJ', 'node.1.donal888', 'node.2.murraymatt', 'node.2.brianaguilar', 'node.3.yJimJia', 'node.1.philizzo', 'node.3.GreggGethard', 'node.0.abirnbaum', 'node.2.MsKimberlyChin', 'node.1.natashakhanhk', 'node.3.Oskar__AE', 'node.3.ErhamahAldhahe1', 'node.3.trader66690', 'node.1.newley', 'node.2.AlejandroLazo', 'node.3.rosecabrera90', 'node.1.sgurman', 'node.1.wadeNYC', 'node.0.abedelman', 'node.3.sheilawsj', 'node.3.PE_Feeds', 'node.3.barbarachai', 'node.1.carletonenglish', 'node.3.NYTLiz', 'node.3.tomdfonzo', 'node.1.mikemillerwsj', 'node.1.JoeWSJ', 'node.2.dumav', 'node.2.dbcurren', 'node.1.cglancey', 'node.1.almarlatour', 'node.1.BenEisen', 'node.1.Nina_Trentmann', 'node.3.threeonen', 'node.1.r2000c', 'node.1.patrickhedlund', 'node.3.gabbystern', 'node.3.johnjedwards3', 'node.1.ReporterLeslie', 'node.1.danacimilluca', 'node.3.medianycity', 'node.1.JBFlint', 'node.1.PhillipaLJ', 'node.3.Jackcsupernews', 'node.1.HiMichelleMa', 'node.3.Jonnelle', 'node.3.FinAntimonopoly', 'node.1.alyrose', 'node.1.david_marcelis', 'node.2.Sital', 'node.0.JoannLublin', 'node.1.Amirmizroch', 'node.3.saumvaish', 'node.2.AlanZibel', 'node.3.konnitinosekai', 'node.3.motioncore', 'node.1.CaraRLombardo', 'node.3.brianstelter', 'node.2.DavidClinchNews', 'node.3.mike_d_spector', 'node.1.KatyStech', 'node.1.MeghanBobrowsky', 'node.1.alexfrangos', 'node.3.katie_robertson', 'node.3.jarrardcole', 'node.1.kimlast', 'node.3.CellUnlockCode_', 'node.1.nicnguyen', 'node.1.its_for_sale', 'node.2.shellyscheng', 'node.1.GRogow', 'node.1.laurenweberWSJ', 'node.2.alex_siegman', 'node.1.JosieCox_London', 'node.1.BryFitz', 'node.3.CAROLYNMICHEAL3', 'node.2.RosenthalRC', 'node.3.landreasson1', 'node.3.CorySchouten', 'node.1.mich_fano', 'node.2.ShiraOvide', 'node.1.rayalexsmith', 'node.3.britt_nicole49', 'node.3.AndrewTangel', 'node.1.BrianHershberg', 'node.1.BruceOrwall', 'node.3.edkap', 'node.2.JaxBischof', 'node.1.jennieeng', 'node.3.geoffreyfowler', 'node.2.feliciasonmez']"
node.0.bellamac14,11.0,,"['node.3.ReshniRatnam', 'node.3.lesleyhn', 'node.3.teela_j']"
node.0.EyadElwan,0.0,,
